"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2021";"0000";"25,5";"26,3";"25,5";"68,0";"68,0";"64,0";"19,2";"19,3";"18,8";"998,6";"998,6";"997,9";"0,0";"51,0";"1,9";"";"0,0"
"01/06/2021";"0100";"23,7";"25,5";"23,7";"72,0";"72,0";"68,0";"18,5";"19,2";"18,0";"999,0";"999,0";"998,6";"0,0";"116,0";"0,0";"";"0,0"
"01/06/2021";"0200";"22,8";"23,9";"22,8";"75,0";"75,0";"72,0";"18,3";"18,8";"18,2";"999,2";"999,2";"999,0";"0,0";"199,0";"0,0";"";"0,0"
"01/06/2021";"0300";"23,0";"23,3";"22,3";"78,0";"78,0";"75,0";"18,9";"19,1";"18,0";"999,0";"999,3";"999,0";"0,0";"21,0";"0,0";"";"0,0"
"01/06/2021";"0400";"22,1";"23,0";"22,0";"79,0";"79,0";"78,0";"18,4";"18,9";"18,2";"998,6";"999,0";"998,6";"0,0";"154,0";"0,0";"";"0,0"
"01/06/2021";"0500";"21,8";"22,1";"21,6";"81,0";"81,0";"79,0";"18,4";"18,4";"18,1";"998,2";"998,6";"998,2";"0,0";"153,0";"0,0";"";"0,0"
"01/06/2021";"0600";"21,7";"21,9";"21,5";"82,0";"83,0";"81,0";"18,6";"18,7";"18,3";"997,7";"998,2";"997,7";"0,0";"214,0";"0,0";"";"0,0"
"01/06/2021";"0700";"20,9";"21,7";"20,9";"83,0";"84,0";"82,0";"18,0";"18,7";"18,0";"997,8";"997,8";"997,7";"0,0";"196,0";"0,0";"";"0,0"
"01/06/2021";"0800";"21,0";"21,2";"20,9";"85,0";"85,0";"83,0";"18,3";"18,4";"18,0";"997,9";"997,9";"997,7";"0,0";"212,0";"0,0";"";"0,0"
"01/06/2021";"0900";"20,9";"21,1";"20,5";"85,0";"86,0";"85,0";"18,4";"18,6";"17,9";"998,4";"998,5";"997,9";"0,0";"137,0";"1,2";"";"0,0"
"01/06/2021";"1000";"21,9";"21,9";"20,5";"86,0";"86,0";"85,0";"19,4";"19,4";"18,0";"998,8";"998,8";"998,3";"0,0";"35,0";"1,0";"66,10";"0,0"
"01/06/2021";"1100";"24,6";"24,6";"21,9";"84,0";"86,0";"84,0";"21,6";"21,7";"19,4";"999,4";"999,4";"998,8";"0,1";"66,0";"1,9";"156,90";"0,0"
"01/06/2021";"1200";"27,9";"28,2";"24,6";"77,0";"84,0";"77,0";"23,4";"24,2";"21,9";"999,7";"999,7";"999,4";"0,8";"191,0";"2,1";"1451,50";"0,0"
"01/06/2021";"1300";"30,7";"30,9";"27,9";"68,0";"77,0";"68,0";"24,1";"24,7";"23,3";"999,4";"999,7";"999,4";"0,7";"126,0";"3,3";"2243,30";"0,0"
"01/06/2021";"1400";"32,3";"33,1";"30,1";"58,0";"68,0";"58,0";"22,9";"24,7";"22,9";"998,7";"999,4";"998,7";"2,1";"103,0";"5,3";"2666,50";"0,0"
"01/06/2021";"1500";"32,4";"34,0";"32,2";"51,0";"58,0";"51,0";"20,9";"23,7";"20,9";"998,1";"998,7";"998,1";"1,1";"132,0";"5,3";"2355,00";"0,0"
"01/06/2021";"1600";"31,5";"34,2";"31,4";"49,0";"51,0";"48,0";"19,5";"22,3";"19,4";"997,6";"998,1";"997,6";"1,4";"119,0";"6,0";"1573,40";"0,0"
"01/06/2021";"1700";"33,6";"34,1";"31,4";"43,0";"49,0";"43,0";"19,3";"20,7";"19,1";"996,4";"997,6";"996,4";"2,0";"123,0";"5,4";"1816,60";"0,0"
"01/06/2021";"1800";"34,3";"34,8";"33,3";"39,0";"43,0";"39,0";"18,2";"20,0";"18,0";"995,6";"996,4";"995,6";"2,3";"99,0";"5,7";"2116,50";"0,0"
"01/06/2021";"1900";"33,0";"34,8";"32,6";"39,0";"40,0";"38,0";"17,3";"18,7";"16,9";"995,3";"995,6";"995,2";"1,5";"101,0";"5,5";"1328,70";"0,0"
"01/06/2021";"2000";"32,2";"33,7";"32,2";"41,0";"41,0";"39,0";"17,5";"18,1";"17,3";"995,6";"995,6";"995,3";"1,3";"121,0";"3,8";"772,80";"0,0"
"01/06/2021";"2100";"30,0";"32,2";"30,0";"47,0";"47,0";"41,0";"17,5";"18,0";"17,4";"995,9";"995,9";"995,6";"0,0";"91,0";"3,8";"140,10";"0,0"
"01/06/2021";"2200";"26,6";"30,0";"26,6";"56,0";"56,0";"47,0";"17,1";"17,8";"17,1";"996,3";"996,3";"995,9";"0,0";"48,0";"1,2";"";"0,0"
