Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/06/2021,0,25.5,26.3,25.5,68,68,64,19.2,19.3,18.8,998.6,998.6,997.9,0,51,1.9,,0
01/06/2021,100,23.7,25.5,23.7,72,72,68,18.5,19.2,18,999,999,998.6,0,116,0,,0
01/06/2021,200,22.8,23.9,22.8,75,75,72,18.3,18.8,18.2,999.2,999.2,999,0,199,0,,0
01/06/2021,300,23,23.3,22.3,78,78,75,18.9,19.1,18,999,999.3,999,0,21,0,,0
01/06/2021,400,22.1,23,22,79,79,78,18.4,18.9,18.2,998.6,999,998.6,0,154,0,,0
01/06/2021,500,21.8,22.1,21.6,81,81,79,18.4,18.4,18.1,998.2,998.6,998.2,0,153,0,,0
01/06/2021,600,21.7,21.9,21.5,82,83,81,18.6,18.7,18.3,997.7,998.2,997.7,0,214,0,,0
01/06/2021,700,20.9,21.7,20.9,83,84,82,18,18.7,18,997.8,997.8,997.7,0,196,0,,0
01/06/2021,800,21,21.2,20.9,85,85,83,18.3,18.4,18,997.9,997.9,997.7,0,212,0,,0
01/06/2021,900,20.9,21.1,20.5,85,86,85,18.4,18.6,17.9,998.4,998.5,997.9,0,137,1.2,,0
01/06/2021,1000,21.9,21.9,20.5,86,86,85,19.4,19.4,18,998.8,998.8,998.3,0,35,1,66.1,0
01/06/2021,1100,24.6,24.6,21.9,84,86,84,21.6,21.7,19.4,999.4,999.4,998.8,0.1,66,1.9,156.9,0
01/06/2021,1200,27.9,28.2,24.6,77,84,77,23.4,24.2,21.9,999.7,999.7,999.4,0.8,191,2.1,1451.5,0
01/06/2021,1300,30.7,30.9,27.9,68,77,68,24.1,24.7,23.3,999.4,999.7,999.4,0.7,126,3.3,2243.3,0
01/06/2021,1400,32.3,33.1,30.1,58,68,58,22.9,24.7,22.9,998.7,999.4,998.7,2.1,103,5.3,2666.5,0
01/06/2021,1500,32.4,34,32.2,51,58,51,20.9,23.7,20.9,998.1,998.7,998.1,1.1,132,5.3,2355,0
01/06/2021,1600,31.5,34.2,31.4,49,51,48,19.5,22.3,19.4,997.6,998.1,997.6,1.4,119,6,1573.4,0
01/06/2021,1700,33.6,34.1,31.4,43,49,43,19.3,20.7,19.1,996.4,997.6,996.4,2,123,5.4,1816.6,0
01/06/2021,1800,34.3,34.8,33.3,39,43,39,18.2,20,18,995.6,996.4,995.6,2.3,99,5.7,2116.5,0
01/06/2021,1900,33,34.8,32.6,39,40,38,17.3,18.7,16.9,995.3,995.6,995.2,1.5,101,5.5,1328.7,0
01/06/2021,2000,32.2,33.7,32.2,41,41,39,17.5,18.1,17.3,995.6,995.6,995.3,1.3,121,3.8,772.8,0
01/06/2021,2100,30,32.2,30,47,47,41,17.5,18,17.4,995.9,995.9,995.6,0,91,3.8,140.1,0
01/06/2021,2200,26.6,30,26.6,56,56,47,17.1,17.8,17.1,996.3,996.3,995.9,0,48,1.2,,0
01/06/2021,2300,25.8,26.8,25.8,63,63,56,18.2,18.8,17,996.8,996.8,996.3,0,53,0,,0
02/06/2021,0,25.6,25.8,25.3,70,70,63,19.7,19.8,18,997.2,997.3,996.8,0,62,1.6,,0
02/06/2021,100,24.1,25.6,23.6,74,74,70,19.2,19.9,18.5,997.5,997.5,997.2,0,41,1.5,,0
02/06/2021,200,24.1,24.4,24.1,77,77,74,19.8,19.9,19.2,997.8,997.8,997.5,0,48,0,,0
02/06/2021,300,23.5,24.1,23.2,79,79,77,19.6,19.8,19.2,997.9,997.9,997.8,0,19,0,,0
02/06/2021,400,22.8,23.5,22.6,80,80,79,19.2,19.6,18.9,997.7,997.9,997.7,0,27,0,,0
02/06/2021,500,22.9,22.9,22.6,81,81,80,19.5,19.5,19.1,997.3,997.7,997.3,0,42,0,,0
02/06/2021,600,22.1,22.9,21.7,82,82,81,19,19.6,18.4,997,997.3,997,0,27,0,,0
02/06/2021,700,21.8,22.1,21.8,83,84,82,18.8,19.1,18.7,997,997,996.8,0,186,0,,0
02/06/2021,800,21.4,21.8,21.4,84,84,83,18.7,18.9,18.6,997.2,997.2,996.9,0,160,0,,0
02/06/2021,900,20.9,21.5,20.8,85,85,84,18.3,18.7,18.1,997.7,997.7,997.2,0,42,0,,0
02/06/2021,1000,22.4,22.4,20.9,86,86,85,19.9,19.9,18.3,998.6,998.6,997.7,0,38,0,68.1,0
02/06/2021,1100,26.7,26.7,22.4,84,86,84,23.8,23.8,19.9,999.3,999.3,998.5,0.1,141,1.4,154.4,0
02/06/2021,1200,28.5,28.7,26.6,76,84,76,23.9,24.2,23.5,999.4,999.5,999.2,0.5,46,2.9,1443.2,0
02/06/2021,1300,30.6,31,28.5,69,76,69,24.3,24.9,23.9,999.1,999.4,999.1,1.2,72,3.9,2230.3,0
02/06/2021,1400,31.7,32.7,30.3,64,69,63,24,25.1,23.1,998.7,999.1,998.7,1,64,4.9,2486.1,0
02/06/2021,1500,32.4,33.5,31.7,58,64,58,23.2,24.8,23.2,998.1,998.7,998.1,3.1,83,6.2,2794,0
02/06/2021,1600,32.8,33.2,31.5,56,59,56,23,23.6,22.1,997.5,998.1,997.5,2,76,6.2,2846.3,0
02/06/2021,1700,33.4,33.7,32.1,52,56,52,22.1,23.1,21.5,996.6,997.5,996.6,1.4,57,6,2634.4,0
02/06/2021,1800,33,34,32.7,50,52,50,21.1,22.7,21,995.9,996.6,995.9,0.9,34,5.3,2174.9,0
02/06/2021,1900,32.9,33.8,32.7,49,50,49,20.8,21.9,20.6,995.7,995.9,995.7,0.6,50,4.3,1583.1,0
02/06/2021,2000,31.9,33.1,31.9,50,50,49,20.3,21,20.3,995.7,995.8,995.7,0.9,68,4.1,798.7,0
02/06/2021,2100,29.7,32.1,29.7,55,55,50,19.7,20.6,19.7,996.3,996.3,995.7,0,70,3,125.4,0
02/06/2021,2200,29.1,29.7,28.4,58,59,55,20.1,20.5,19.1,997,997,996.3,0.2,103,2.3,,0
02/06/2021,2300,28,29.1,28,61,61,58,19.7,20.1,19.7,997.8,997.8,997,0.1,79,2.3,,0
03/06/2021,0,25.9,28,25.9,67,67,61,19.4,19.6,19,998.7,998.7,997.8,0,29,1.3,,0
03/06/2021,100,23.9,25.8,23.9,72,72,67,18.5,19.5,18.5,999.2,999.2,998.7,0,28,0,,0
03/06/2021,200,24.6,24.9,23.7,76,76,72,20,20.1,18.4,999.2,999.3,999.2,0,5,0,,0
03/06/2021,300,24.1,24.6,23.6,78,78,76,20.1,20.2,19.4,999,999.3,999,0,71,0,,0
03/06/2021,400,23.7,24.4,23.5,80,80,78,20,20.5,19.5,998.9,999.1,998.9,0,89,0,,0
03/06/2021,500,24.1,24.4,23.2,81,81,80,20.7,20.8,19.6,998.5,999,998.5,0,171,3.7,,0
03/06/2021,600,24.8,24.8,24.1,82,82,81,21.5,21.5,20.8,998.4,998.6,998.4,0,43,0,,0
03/06/2021,700,24.3,24.8,24.1,83,83,82,21.1,21.5,20.9,998.3,998.4,998.2,0,64,0,,0
03/06/2021,800,24.1,24.3,23.9,83,83,83,21.1,21.1,20.8,998.7,998.7,998.3,0,94,0.3,,0
03/06/2021,900,23.7,24.1,23.7,84,84,83,20.8,21.1,20.8,998.9,998.9,998.7,0.1,77,1.3,,0
03/06/2021,1000,24.2,24.2,23.7,84,84,84,21.3,21.3,20.8,999.6,999.6,998.9,0,62,2.2,69.7,0
03/06/2021,1100,26.6,26.6,24.1,83,84,83,23.4,23.4,21.3,1000.6,1000.6,999.6,0.2,216,2,182.3,0
03/06/2021,1200,29.6,29.8,26.6,75,83,75,24.6,25.1,23.5,1000.9,1001,1000.5,0,90,1.5,1389.5,0
